Rank,Name,Symbol,marketcap,price (USD),country,Size Category
1,Raytheon Technologies,RTX,143733325824,108.11,United States,Large
2,Honeywell,HON,135954612224,208.78,United States,Large
3,Lockheed Martin,LMT,112802054144,470.13,United States,Large
4,Safran,SAF.PA,92892236187,224.93,France,Medium
5,General Dynamics,GD,82073247744,299.14,United States,Medium
6,Northrop Grumman,NOC,65187528704,440.04,United States,Medium
7,BAE Systems,BA.L,53865747547,17.7585,United Kingdom,Medium
8,L3Harris Technologies,LHX,42089992192,221.9,United States,Small
9,Thales,HO.PA,38294830761,186.381,France,Small
10,Hindustan Aeronautics,HAL.NS,38005630841,56.8263,India,Small
11,Rheinmetall,RHM.F,24943736795,571.059,Germany,Small
12,Bharat Electronics,BEL.NS,24774463414,3.38922,India,Small
13,Dassault Aviation,AM.PA,16356366133,208.217,France,Small
14,Kongsberg Gruppen,KOG.OL,15533540255,88.4502,Norway,Small
15,Leonardo,LDO.MI,14993714074,26.0621,Italy,Small
16,SAAB AB,SAAB-B.ST,13780357863,25.8136,Sweden,Small
17,Huntington Ingalls Industries,HII,9827173376,249.21,United States,Small
18,Aselsan,ASELS.IS,8559676652,1.87712,Turkey,Small
19,Elbit Systems,ESLT,8234537984,184.25,Israel,Small
20,Leonardo DRS,DRS,6386456576,24.27,United States,Small
21,Bharat Dynamics,BDL.NS,6276550681,17.1228,India,Small
22,AeroVironment,AVAV,5691570688,202.29,United States,Small
23,Hensoldt,HAG.F,4618017511,39.8318,Germany,Small
24,Indra Sistemas,IDR.MC,4026540194,23.2478,Spain,Small
25,QinetiQ,QQ.L,3312702701,5.80747,United Kingdom,Small
26,Kratos Defense &amp; Security Solutions,KTOS,3058996992,20.38,United States,Small
27,Mercury Systems,MRCY,1794029568,30.23,United States,Small
28,VSE Corporation,VSEC,1510184960,82.02,United States,Small
29,V2X,VVX,1473225088,46.83,United States,Small
30,"Sturm, Ruger &amp; Co",RGR,748773632,43.03,United States,Small
31,Avon Protection,AVON.L,500998141,16.7019,United Kingdom,Small
32,AMMO,POWW,290719456,2.45,United States,Small
33,TAT Technologies,TATT,147985376,14.63,Israel,Small
