lamda;cuentas
196.98;696.75
197.11;696.75
197.25;711.90
197.39;727.30
197.52;741.10
197.66;754.60
197.80;771.85
197.94;771.70
198.07;771.75
198.21;772.25
198.35;775.85
198.48;773.05
198.62;771.40
198.76;768.70
198.89;767.95
199.03;768.35
199.17;767.60
199.31;769.45
199.44;772.55
199.58;771.75
199.72;770.30
199.85;777.15
199.99;776.65
200.13;774.40
200.26;780.20
200.40;777.45
200.54;772.55
200.68;772.85
200.81;777.80
200.95;778.30
201.09;783.00
201.22;784.00
201.36;783.90
201.50;778.70
201.63;776.70
201.77;770.20
201.91;767.90
202.04;765.55
202.18;765.70
202.32;761.90
202.46;767.60
202.59;771.75
202.73;775.95
202.87;779.25
203.00;780.40
203.14;777.00
203.28;773.80
203.41;768.40
203.55;762.60
203.69;761.05
203.82;762.20
203.96;767.20
204.10;769.35
204.23;772.95
204.37;778.40
204.51;780.90
204.64;776.70
204.78;773.30
204.92;771.55
205.06;765.70
205.19;762.15
205.33;763.70
205.47;765.95
205.60;772.90
205.74;777.25
205.88;775.40
206.01;768.95
206.15;769.05
206.29;762.90
206.42;763.25
206.56;764.60
206.70;769.15
206.83;771.05
206.97;773.90
207.11;770.70
207.24;771.15
207.38;769.75
207.52;766.05
207.65;765.55
207.79;764.30
207.93;766.85
208.06;767.10
208.20;769.15
208.34;767.95
208.47;768.85
208.61;766.25
208.75;768.05
208.88;772.90
209.02;771.20
209.16;778.80
209.29;784.60
209.43;781.95
209.57;777.85
209.70;781.30
209.84;777.00
209.98;772.00
210.11;773.90
210.25;773.50
210.39;771.80
210.52;769.50
210.66;768.00
210.80;769.20
210.93;771.05
211.07;770.30
211.21;771.50
211.34;772.00
211.48;770.80
211.62;767.50
211.75;764.90
211.89;768.45
212.03;769.45
212.16;770.95
212.30;769.80
212.44;772.85
212.57;764.85
212.71;764.45
212.85;760.10
212.98;762.85
213.12;763.95
213.25;766.55
213.39;769.95
213.53;773.60
213.66;773.35
213.80;772.60
213.94;770.90
214.07;767.30
214.21;769.30
214.35;770.65
214.48;769.85
214.62;775.15
214.76;785.35
214.89;786.50
215.03;784.60
215.17;782.50
215.30;782.40
215.44;771.70
215.57;769.05
215.71;772.75
215.85;775.10
215.98;775.20
216.12;776.55
216.26;778.15
216.39;776.50
216.53;780.30
216.67;778.05
216.80;775.60
216.94;776.75
217.08;776.05
217.21;771.05
217.35;769.95
217.48;773.00
217.62;766.85
217.76;765.05
217.89;765.65
218.03;765.10
218.17;760.15
218.30;766.65
218.44;772.00
218.58;776.80
218.71;774.05
218.85;783.25
218.98;779.25
219.12;771.70
219.26;769.95
219.39;774.60
219.53;771.85
219.67;770.85
219.80;775.00
219.94;773.70
220.07;772.60
220.21;768.75
220.35;768.80
220.48;766.55
220.62;763.90
220.76;761.75
220.89;761.95
221.03;759.35
221.16;763.25
221.30;764.35
221.44;764.30
221.57;766.55
221.71;765.80
221.85;765.70
221.98;765.85
222.12;769.15
222.25;767.40
222.39;771.05
222.53;761.95
222.66;763.65
222.80;764.05
222.94;773.60
223.07;779.70
223.21;786.90
223.34;788.95
223.48;785.70
223.62;778.25
223.75;771.30
223.89;767.90
224.02;760.85
224.16;761.35
224.30;756.20
224.43;756.60
224.57;762.45
